regulator,regulator site,interaction,target,target site,Time,Type,Pearson,Spearman,Weight
AT1G73830,,regulates,AT5G14790,,30min,TF-Abundance,,,0.876356422
AT1G73830,,regulates,AT5G21990,,30min,TF-Abundance,,,0.930382876
AT1G73830,,regulates,AT5G26751,,30min,TF-Abundance,,,0.710938233
AT1G73830,,regulates,AT5G58330,,30min,TF-Abundance,,,0.769146268
AT1G73830,,regulates,AT5G63980,,30min,TF-Abundance,,,0.89227034
AT1G76590,,regulates,AT1G03850,,30min,TF-Abundance,,,0.943334751
AT1G76590,,regulates,AT1G22985,,30min,TF-Abundance,,,0.876336131
AT1G76590,,regulates,AT1G23870,,30min,TF-Abundance,,,0.920128965
AT1G76590,,regulates,AT1G32640,,30min,TF-Abundance,,,0.573200352
AT1G76590,,regulates,AT1G44830,,30min,TF-Abundance,,,0.536968219
AT1G76590,,regulates,AT1G76680,,30min,TF-Abundance,,,0.929844187
AT1G76590,,regulates,AT2G15695,,30min,TF-Abundance,,,0.917210553
AT1G76590,,regulates,AT2G45170,,30min,TF-Abundance,,,0.754340395
AT1G76590,,regulates,AT3G06740,,30min,TF-Abundance,,,0.509777876
AT1G76590,,regulates,AT3G11850,,30min,TF-Abundance,,,0.746179613
AT1G76590,,regulates,AT3G53720,,30min,TF-Abundance,,,0.750366632
AT1G76590,,regulates,AT3G57760,,30min,TF-Abundance,,,0.746617353
AT1G76590,,regulates,AT4G14230,,30min,TF-Abundance,,,0.856666371
AT1G76590,,regulates,AT4G17245,,30min,TF-Abundance,,,0.771393032
AT1G76590,,regulates,AT4G18950,,30min,TF-Abundance,,,0.843229628
AT1G76590,,regulates,AT5G04740,,30min,TF-Abundance,,,0.702665873
AT1G76590,,regulates,AT5G07580,,30min,TF-Abundance,,,0.804740747
AT1G76590,,regulates,AT5G24850,,30min,TF-Abundance,,,0.772448569
AT1G77080,,regulates,AT1G03040,,30min,TF-Abundance,,,0.891134444
AT1G77080,,regulates,AT1G07830,,30min,TF-Abundance,,,1
AT1G77080,,regulates,AT1G08680,,30min,TF-Abundance,,,0.697748597
AT1G77080,,regulates,AT1G16900,,30min,TF-Abundance,,,0.722637303
AT1G77080,,regulates,AT1G19400,,30min,TF-Abundance,,,0.731314198
AT1G77080,,regulates,AT1G25420,,30min,TF-Abundance,,,0.816810978
AT1G77080,,regulates,AT1G28420,,30min,TF-Abundance,,,0.905175376
AT1G77080,,regulates,AT1G32640,,30min,TF-Abundance,,,0.623396727
AT1G77080,,regulates,AT1G51430,,30min,TF-Abundance,,,0.76963241
AT1G77080,,regulates,AT1G52150,,30min,TF-Abundance,,,0.866011533
AT1G77080,,regulates,AT1G52720,,30min,TF-Abundance,,,0.713072288
AT1G77080,,regulates,AT1G54115,,30min,TF-Abundance,,,0.809604573
AT1G77080,,regulates,AT1G64620,,30min,TF-Abundance,,,0.691200641
AT1G77080,,regulates,AT1G69252,,30min,TF-Abundance,,,0.797766116
AT1G77080,,regulates,AT1G72650,,30min,TF-Abundance,,,0.608647344
AT1G77080,,regulates,AT1G73830,,30min,TF-Abundance,,,0.885741304
AT1G77080,,regulates,AT2G19180,,30min,TF-Abundance,,,0.799340326
AT1G77080,,regulates,AT2G27860,,30min,TF-Abundance,,,0.705093379
AT1G77080,,regulates,AT2G28910,,30min,TF-Abundance,,,0.697504359
AT1G77080,,regulates,AT2G31585,,30min,TF-Abundance,,,0.786202794
AT1G77080,,regulates,AT2G37840,,30min,TF-Abundance,,,0.763976103
AT1G77080,,regulates,AT2G38800,,30min,TF-Abundance,,,0.714667728
AT1G77080,,regulates,AT2G41980,,30min,TF-Abundance,,,0.843550591
AT1G77080,,regulates,AT3G05520,,30min,TF-Abundance,,,0.81184029
AT1G77080,,regulates,AT3G06110,,30min,TF-Abundance,,,0.786839174
AT1G77080,,regulates,AT3G06410,,30min,TF-Abundance,,,0.754024511
AT1G77080,,regulates,AT3G07180,,30min,TF-Abundance,,,0.703203397
AT1G77080,,regulates,AT3G18350,,30min,TF-Abundance,,,0.749265996
AT1G77080,,regulates,AT3G20550,,30min,TF-Abundance,,,0.774058659
AT1G77080,,regulates,AT3G22750,,30min,TF-Abundance,,,0.739068211
AT1G77080,,regulates,AT3G47640,,30min,TF-Abundance,,,0.705703818
AT1G77080,,regulates,AT3G51010,,30min,TF-Abundance,,,0.974428918
AT1G77080,,regulates,AT3G52560,,30min,TF-Abundance,,,0.857352566
AT1G77080,,regulates,AT4G00730,,30min,TF-Abundance,,,0.954809969
AT1G77080,,regulates,AT4G17170,,30min,TF-Abundance,,,0.909209412
AT1G77080,,regulates,AT4G19110,,30min,TF-Abundance,,,0.780711353
AT1G77080,,regulates,AT4G21860,,30min,TF-Abundance,,,0.8681867
AT1G77080,,regulates,AT4G22260,,30min,TF-Abundance,,,0.750814314
AT1G77080,,regulates,AT4G24100,,30min,TF-Abundance,,,0.784360812
AT1G77080,,regulates,AT4G32880,,30min,TF-Abundance,,,0.753748614
AT1G77080,,regulates,AT5G05570,,30min,TF-Abundance,,,0.783422673
AT1G77080,,regulates,AT5G16800,,30min,TF-Abundance,,,0.916823977
AT1G77080,,regulates,AT5G16880,,30min,TF-Abundance,,,0.762975601
AT1G77080,,regulates,AT5G21090,,30min,TF-Abundance,,,0.887499337
AT1G77080,,regulates,AT5G45500,,30min,TF-Abundance,,,0.794730946
AT1G77080,,regulates,AT5G51545,,30min,TF-Abundance,,,1
AT1G77080,,regulates,AT5G53902,,30min,TF-Abundance,,,0.918325637
AT1G77080,,regulates,AT5G66160,,30min,TF-Abundance,,,0.947335957
AT1G77640,,regulates,AT1G21910,,30min,TF-Abundance,,,0.83445549
AT1G77640,,regulates,AT1G74950,,30min,TF-Abundance,,,0.773054935
AT1G77640,,regulates,AT2G34600,,30min,TF-Abundance,,,0.789136097
AT1G77640,,regulates,AT2G44840,,30min,TF-Abundance,,,0.811345198
AT2G02740,,regulates,AT1G14900,,30min,TF-Abundance,,,0.671357203
AT2G02740,,regulates,AT2G43610,,30min,TF-Abundance,,,0.638461239
AT2G02740,,regulates,AT3G16785,,30min,TF-Abundance,,,0.784528863
AT2G02740,,regulates,AT3G25013,,30min,TF-Abundance,,,0.800952334
AT2G02740,,regulates,AT5G12480,,30min,TF-Abundance,,,0.577983752
AT2G02740,,regulates,AT5G60970,,30min,TF-Abundance,,,0.736200656
AT2G03500,,regulates,AT1G14980,,30min,TF-Abundance,,,0.828485471
AT2G03500,,regulates,AT1G15760,,30min,TF-Abundance,,,0.882501073
AT2G03500,,regulates,AT2G14880,,30min,TF-Abundance,,,0.835937318
AT2G17040,,regulates,AT1G07135,,30min,TF-Abundance,,,0.916035551
AT2G17040,,regulates,AT1G66160,,30min,TF-Abundance,,,0.781649592
AT2G17040,,regulates,AT2G01180,,30min,TF-Abundance,,,0.884811134
AT2G17040,,regulates,AT2G32200,,30min,TF-Abundance,,,0.890366096
AT2G17040,,regulates,AT2G40270,,30min,TF-Abundance,,,0.852580823
AT2G17040,,regulates,AT3G45640,,30min,TF-Abundance,,,0.802885399
AT2G17040,,regulates,AT4G24570,,30min,TF-Abundance,,,0.894245631
AT2G17040,,regulates,AT4G25810,,30min,TF-Abundance,,,0.851403619
AT2G17040,,regulates,AT4G27280,,30min,TF-Abundance,,,1
AT2G17040,,regulates,AT5G26030,,30min,TF-Abundance,,,0.818571803
AT2G17040,,regulates,AT5G45340,,30min,TF-Abundance,,,0.74293264
AT2G17040,,regulates,AT5G65350,,30min,TF-Abundance,,,0.823545747
AT2G18300,,regulates,AT1G01380,,30min,TF-Abundance,,,0.794929144
AT2G18300,,regulates,AT1G68790,,30min,TF-Abundance,,,0.627070946
AT2G18300,,regulates,AT2G24270,,30min,TF-Abundance,,,0.621922921
AT2G18300,,regulates,AT3G26700,,30min,TF-Abundance,,,0.561894921
AT2G18300,,regulates,AT5G10480,,30min,TF-Abundance,,,0.713770522
AT2G18850,,regulates,AT1G01180,,30min,TF-Abundance,,,0.643001431
AT2G18850,,regulates,AT3G57980,,30min,TF-Abundance,,,0.721366857
AT2G18850,,regulates,AT4G00490,,30min,TF-Abundance,,,0.761880162
AT2G18850,,regulates,AT5G24970,,30min,TF-Abundance,,,0.666395058
AT2G19260,,regulates,AT1G04780,,30min,TF-Abundance,,,0.943561364
AT2G19260,,regulates,AT1G06150,,30min,TF-Abundance,,,0.825539262
AT2G19260,,regulates,AT1G08190,,30min,TF-Abundance,,,0.609256844
AT2G19260,,regulates,AT1G16610,,30min,TF-Abundance,,,0.976978106
AT2G19260,,regulates,AT1G32750,,30min,TF-Abundance,,,0.738674825
AT2G19260,,regulates,AT1G47290,,30min,TF-Abundance,,,0.708674466
AT2G19260,,regulates,AT1G52150,,30min,TF-Abundance,,,0.71792986
AT2G19260,,regulates,AT1G53720,,30min,TF-Abundance,,,0.676059998
AT2G19260,,regulates,AT1G80930,,30min,TF-Abundance,,,0.774781272
AT2G19260,,regulates,AT2G16940,,30min,TF-Abundance,,,0.855434083
AT2G19260,,regulates,AT2G17540,,30min,TF-Abundance,,,0.631641737
AT2G19260,,regulates,AT2G20360,,30min,TF-Abundance,,,0.606051557
AT2G19260,,regulates,AT2G41900,,30min,TF-Abundance,,,0.696811726
AT2G19260,,regulates,AT2G42070,,30min,TF-Abundance,,,0.67701386
AT2G19260,,regulates,AT2G45060,,30min,TF-Abundance,,,0.669168619
AT2G19260,,regulates,AT3G10730,,30min,TF-Abundance,,,0.630315108
AT2G19260,,regulates,AT3G46000,,30min,TF-Abundance,,,0.831250946
AT2G19260,,regulates,AT3G55020,,30min,TF-Abundance,,,0.944002799
AT2G19260,,regulates,AT4G07390,,30min,TF-Abundance,,,0.601259694
AT2G19260,,regulates,AT4G25835,,30min,TF-Abundance,,,0.633017077
AT2G19260,,regulates,AT4G32880,,30min,TF-Abundance,,,0.633571374
AT2G19260,,regulates,AT4G33380,,30min,TF-Abundance,,,0.703390715
AT2G19260,,regulates,AT4G33530,,30min,TF-Abundance,,,0.637033177
AT2G19260,,regulates,AT5G04085,,30min,TF-Abundance,,,0.824156873
AT2G19260,,regulates,AT5G08450,,30min,TF-Abundance,,,0.609666868
AT2G19260,,regulates,AT5G12150,,30min,TF-Abundance,,,0.743462215
AT2G19260,,regulates,AT5G13300,,30min,TF-Abundance,,,0.731571798
AT2G19260,,regulates,AT5G22080,,30min,TF-Abundance,,,0.640463406
AT2G19260,,regulates,AT5G40160,,30min,TF-Abundance,,,0.755097716
AT2G19260,,regulates,AT5G43810,,30min,TF-Abundance,,,0.75318372
AT2G19260,,regulates,AT5G46070,,30min,TF-Abundance,,,1
AT2G19260,,regulates,AT5G47010,,30min,TF-Abundance,,,0.797144573
AT2G19260,,regulates,AT5G51100,,30min,TF-Abundance,,,0.910895905
AT2G20880,,regulates,AT1G76600,,30min,TF-Abundance,,,0.72178955
AT2G20880,,regulates,AT1G76680,,30min,TF-Abundance,,,0.807012131
AT2G20880,,regulates,AT1G76890,,30min,TF-Abundance,,,0.810355002
AT2G20880,,regulates,AT2G44340,,30min,TF-Abundance,,,1
AT2G20880,,regulates,AT2G46340,,30min,TF-Abundance,,,0.724786289
AT2G20880,,regulates,AT3G58680,,30min,TF-Abundance,,,0.640875418
AT2G20880,,regulates,AT4G03400,,30min,TF-Abundance,,,0.907908821
AT2G20880,,regulates,AT5G43630,,30min,TF-Abundance,,,0.81501793
AT2G22540,,regulates,AT1G01790,,30min,TF-Abundance,,,0.442562915
AT2G22540,,regulates,AT1G04080,,30min,TF-Abundance,,,0.409307704
AT2G22540,,regulates,AT1G08643,,30min,TF-Abundance,,,0.457147918
AT2G22540,,regulates,AT1G09815,,30min,TF-Abundance,,,0.407596802
AT2G22540,,regulates,AT1G10140,,30min,TF-Abundance,,,0.606744611
AT2G22540,,regulates,AT1G16630,,30min,TF-Abundance,,,0.555681571
AT2G22540,,regulates,AT1G18330,,30min,TF-Abundance,,,0.793377519
AT2G22540,,regulates,AT1G19350,,30min,TF-Abundance,,,0.633893398
AT2G22540,,regulates,AT1G22690,,30min,TF-Abundance,,,0.487345019
AT2G22540,,regulates,AT1G29400,,30min,TF-Abundance,,,0.434038483
AT2G22540,,regulates,AT1G52720,,30min,TF-Abundance,,,0.409399014
AT2G22540,,regulates,AT1G52780,,30min,TF-Abundance,,,0.413603226
AT2G22540,,regulates,AT1G62760,,30min,TF-Abundance,,,0.51315284
AT2G22540,,regulates,AT1G75580,,30min,TF-Abundance,,,0.588153489
AT2G22540,,regulates,AT1G79340,,30min,TF-Abundance,,,0.423613382
AT2G22540,,regulates,AT2G15080,,30min,TF-Abundance,,,1
AT2G22540,,regulates,AT2G28550,,30min,TF-Abundance,,,0.775185931
AT2G22540,,regulates,AT2G32980,,30min,TF-Abundance,,,0.472823155
AT2G22540,,regulates,AT2G38800,,30min,TF-Abundance,,,0.537761139
AT2G22540,,regulates,AT2G42040,,30min,TF-Abundance,,,0.438907394
AT2G22540,,regulates,AT2G43140,,30min,TF-Abundance,,,0.684625056
AT2G22540,,regulates,AT2G45950,,30min,TF-Abundance,,,0.539226328
AT2G22540,,regulates,AT3G01150,,30min,TF-Abundance,,,0.426984775
AT2G22540,,regulates,AT3G03470,,30min,TF-Abundance,,,0.604407561
AT2G22540,,regulates,AT3G05335,,30min,TF-Abundance,,,0.41625421
AT2G22540,,regulates,AT3G13540,,30min,TF-Abundance,,,0.392258992
AT2G22540,,regulates,AT3G22980,,30min,TF-Abundance,,,0.498949824
AT2G22540,,regulates,AT3G23240,,30min,TF-Abundance,,,0.523149933
AT2G22540,,regulates,AT3G24100,,30min,TF-Abundance,,,0.424474351
AT2G22540,,regulates,AT3G47290,,30min,TF-Abundance,,,0.496924034
AT2G22540,,regulates,AT3G61080,,30min,TF-Abundance,,,0.416364366
AT2G22540,,regulates,AT3G61880,,30min,TF-Abundance,,,0.609701436
AT2G22540,,regulates,AT4G01870,,30min,TF-Abundance,,,0.529466001
AT2G22540,,regulates,AT4G18510,,30min,TF-Abundance,,,0.565069346
AT2G22540,,regulates,AT4G35270,,30min,TF-Abundance,,,0.694745373
AT2G22540,,regulates,AT5G03530,,30min,TF-Abundance,,,0.398258645
AT2G22540,,regulates,AT5G03730,,30min,TF-Abundance,,,0.539211459
AT2G22540,,regulates,AT5G07460,,30min,TF-Abundance,,,0.617263278
AT2G22540,,regulates,AT5G16050,,30min,TF-Abundance,,,0.520530378
AT2G22540,,regulates,AT5G17300,,30min,TF-Abundance,,,0.817886709
AT2G22540,,regulates,AT5G23760,,30min,TF-Abundance,,,0.411279895
AT2G22540,,regulates,AT5G27690,,30min,TF-Abundance,,,0.487896334
AT2G22540,,regulates,AT5G35995,,30min,TF-Abundance,,,0.425272101
AT2G22540,,regulates,AT5G44910,,30min,TF-Abundance,,,0.586443638
AT2G22540,,regulates,AT5G56210,,30min,TF-Abundance,,,0.51585941
AT2G22540,,regulates,AT5G59540,,30min,TF-Abundance,,,0.532425743
AT2G24500,,regulates,AT1G02340,,30min,TF-Abundance,,,0.663094184
AT2G24500,,regulates,AT1G02890,,30min,TF-Abundance,,,0.696184037
AT2G24500,,regulates,AT1G04350,,30min,TF-Abundance,,,0.581919147
AT2G24500,,regulates,AT1G07000,,30min,TF-Abundance,,,0.606352017
AT2G24500,,regulates,AT1G15420,,30min,TF-Abundance,,,0.598524121
AT2G24500,,regulates,AT2G20060,,30min,TF-Abundance,,,0.569738214
AT2G24500,,regulates,AT2G26180,,30min,TF-Abundance,,,0.568476488
AT2G24500,,regulates,AT2G26330,,30min,TF-Abundance,,,0.671426769
AT2G24500,,regulates,AT2G28810,,30min,TF-Abundance,,,0.568044658
AT2G24500,,regulates,AT2G29450,,30min,TF-Abundance,,,0.583766351
AT2G24500,,regulates,AT3G09922,,30min,TF-Abundance,,,0.604221072
AT2G24500,,regulates,AT4G17150,,30min,TF-Abundance,,,0.578101713
AT2G24500,,regulates,AT4G20400,,30min,TF-Abundance,,,0.607707217
AT2G24500,,regulates,AT5G07360,,30min,TF-Abundance,,,0.672754243
AT2G24500,,regulates,AT5G19770,,30min,TF-Abundance,,,0.66212574
AT2G24500,,regulates,AT5G22880,,30min,TF-Abundance,,,0.596643706
AT2G24500,,regulates,AT5G51670,,30min,TF-Abundance,,,0.629956056
AT2G24500,,regulates,AT5G67060,,30min,TF-Abundance,,,0.655737074
AT2G24570,,regulates,AT1G23200,,30min,TF-Abundance,,,0.535789383
AT2G24570,,regulates,AT1G26270,,30min,TF-Abundance,,,0.573586129
AT2G24570,,regulates,AT1G59870,,30min,TF-Abundance,,,0.537636606
AT2G24570,,regulates,AT4G20830,,30min,TF-Abundance,,,0.557310351
AT2G24570,,regulates,AT5G48657,,30min,TF-Abundance,,,0.527321286
AT2G24570,,regulates,AT5G54900,,30min,TF-Abundance,,,0.774614374
AT2G25650,,regulates,AT1G20920,,30min,TF-Abundance,,,0.752004629
AT2G25650,,regulates,AT1G71695,,30min,TF-Abundance,,,0.739165381
AT2G25650,,regulates,AT2G32260,,30min,TF-Abundance,,,0.841689922
AT2G25650,,regulates,AT3G02760,,30min,TF-Abundance,,,0.697230913
AT2G25650,,regulates,AT3G07735,,30min,TF-Abundance,,,0.710465474
AT2G25650,,regulates,AT3G27570,,30min,TF-Abundance,,,0.691599281
AT2G25650,,regulates,AT3G52990,,30min,TF-Abundance,,,0.702467023
AT2G25650,,regulates,AT4G00660,,30min,TF-Abundance,,,0.705929458
AT2G25650,,regulates,AT4G25100,,30min,TF-Abundance,,,0.720637328
AT2G25650,,regulates,AT4G25360,,30min,TF-Abundance,,,0.753281884
AT2G25650,,regulates,AT4G29870,,30min,TF-Abundance,,,0.79639521
AT2G25650,,regulates,AT5G16600,,30min,TF-Abundance,,,0.701955811
AT2G25650,,regulates,AT5G19300,,30min,TF-Abundance,,,0.723174591
AT2G25650,,regulates,AT5G22780,,30min,TF-Abundance,,,0.746997698
AT2G25650,,regulates,AT5G51120,,30min,TF-Abundance,,,0.861330762
AT2G28200,,regulates,AT1G14210,,30min,TF-Abundance,,,0.714242421
AT2G28200,,regulates,AT1G15260,,30min,TF-Abundance,,,0.428996475
AT2G28200,,regulates,AT1G32090,,30min,TF-Abundance,,,0.419347185
AT2G28200,,regulates,AT1G67230,,30min,TF-Abundance,,,0.335421586
AT2G28200,,regulates,AT1G80950,,30min,TF-Abundance,,,0.383427063
AT2G28200,,regulates,AT2G38950,,30min,TF-Abundance,,,0.333410428
AT2G28200,,regulates,AT3G17450,,30min,TF-Abundance,,,0.317904747
AT2G28200,,regulates,AT3G61060,,30min,TF-Abundance,,,0.345179214
AT2G28200,,regulates,AT4G03510,,30min,TF-Abundance,,,0.319760275
AT2G28200,,regulates,AT4G29905,,30min,TF-Abundance,,,0.735928214
AT2G28200,,regulates,AT4G37470,,30min,TF-Abundance,,,0.449497214
AT2G28200,,regulates,AT5G25810,,30min,TF-Abundance,,,0.701186237
AT2G28200,,regulates,AT5G51040,,30min,TF-Abundance,,,0.475690102
AT2G30250,,regulates,AT1G22280,,30min,TF-Abundance,,,0.473389008
AT2G30250,,regulates,AT1G76890,,30min,TF-Abundance,,,0.701243505
AT2G30250,,regulates,AT3G12360,,30min,TF-Abundance,,,0.91395873
AT2G30250,,regulates,AT3G48310,,30min,TF-Abundance,,,0.924582816
AT2G30250,,regulates,AT5G06860,,30min,TF-Abundance,,,0.886347195
AT2G30250,,regulates,AT5G39580,,30min,TF-Abundance,,,0.458959767
AT2G30250,,regulates,AT5G57780,,30min,TF-Abundance,,,0.780150689
AT2G34600,,regulates,AT2G26530,,30min,TF-Abundance,,,0.864436082
AT2G34600,,regulates,AT3G12630,,30min,TF-Abundance,,,1
AT2G34600,,regulates,AT3G17160,,30min,TF-Abundance,,,0.829996394
AT2G34600,,regulates,AT3G19380,,30min,TF-Abundance,,,0.869044999
AT2G34600,,regulates,AT3G29375,,30min,TF-Abundance,,,0.898147434
AT2G34600,,regulates,AT4G13395,,30min,TF-Abundance,,,0.915084089
AT2G34600,,regulates,AT5G27420,,30min,TF-Abundance,,,0.763534183
AT2G34600,,regulates,AT5G65920,,30min,TF-Abundance,,,0.814699768
AT2G34600,,regulates,AT5G66650,,30min,TF-Abundance,,,0.905368626
AT2G37630,,regulates,AT1G09795,,30min,TF-Abundance,,,0.746220885
AT2G37630,,regulates,AT1G65440,,30min,TF-Abundance,,,0.736525535
AT2G37630,,regulates,AT1G79940,,30min,TF-Abundance,,,0.88603493
AT2G37630,,regulates,AT3G24490,,30min,TF-Abundance,,,0.822016802
AT2G37630,,regulates,AT3G50370,,30min,TF-Abundance,,,0.860290841
AT2G37630,,regulates,AT4G01037,,30min,TF-Abundance,,,0.85598383
AT2G38470,,regulates,AT5G65920,,30min,TF-Abundance,,,0.679008302
AT2G38950,,regulates,AT2G28200,,30min,TF-Abundance,,,0.320926305
AT2G38950,,regulates,AT3G17450,,30min,TF-Abundance,,,0.328878114
AT2G40140,,regulates,AT3G50060,,30min,TF-Abundance,,,0.590912694
AT2G41940,,regulates,AT2G02220,,30min,TF-Abundance,,,0.669808054
AT2G41940,,regulates,AT3G23240,,30min,TF-Abundance,,,0.804823635
AT2G41940,,regulates,AT3G49720,,30min,TF-Abundance,,,0.668501089
AT2G41940,,regulates,AT5G08790,,30min,TF-Abundance,,,0.718951125
AT2G41940,,regulates,AT5G44680,,30min,TF-Abundance,,,0.674728973
AT2G43140,,regulates,AT1G11330,,30min,TF-Abundance,,,0.813548243
AT2G43140,,regulates,AT1G18330,,30min,TF-Abundance,,,0.600232196
AT2G43140,,regulates,AT1G32640,,30min,TF-Abundance,,,0.717170403
AT2G43140,,regulates,AT1G54095,,30min,TF-Abundance,,,0.707187963
AT2G43140,,regulates,AT2G22540,,30min,TF-Abundance,,,0.728039265
AT2G43140,,regulates,AT2G26780,,30min,TF-Abundance,,,0.850933617
AT2G43140,,regulates,AT2G28550,,30min,TF-Abundance,,,0.685097761
AT2G43140,,regulates,AT3G06740,,30min,TF-Abundance,,,0.651873837
AT2G43140,,regulates,AT3G07270,,30min,TF-Abundance,,,1
AT2G43140,,regulates,AT3G52250,,30min,TF-Abundance,,,0.711416634
AT2G43140,,regulates,AT4G00730,,30min,TF-Abundance,,,0.833641778
AT2G43140,,regulates,AT5G17300,,30min,TF-Abundance,,,0.707721825
AT2G44840,,regulates,AT1G13960,,30min,TF-Abundance,,,0.601970419
AT2G44840,,regulates,AT1G18570,,30min,TF-Abundance,,,0.665296618
AT2G44840,,regulates,AT1G21910,,30min,TF-Abundance,,,0.781821251
AT2G44840,,regulates,AT1G28370,,30min,TF-Abundance,,,0.673982048
AT2G44840,,regulates,AT1G32640,,30min,TF-Abundance,,,0.675664228
AT2G44840,,regulates,AT1G33760,,30min,TF-Abundance,,,0.739570276
AT2G44840,,regulates,AT1G61667,,30min,TF-Abundance,,,0.845561085
AT2G44840,,regulates,AT1G66160,,30min,TF-Abundance,,,0.799228049
AT2G44840,,regulates,AT1G77640,,30min,TF-Abundance,,,0.944871217
AT2G44840,,regulates,AT2G01180,,30min,TF-Abundance,,,0.78838113
AT2G44840,,regulates,AT2G27080,,30min,TF-Abundance,,,0.785334197
AT2G44840,,regulates,AT2G40140,,30min,TF-Abundance,,,0.753554132
AT2G44840,,regulates,AT3G15500,,30min,TF-Abundance,,,0.641407851
AT2G44840,,regulates,AT3G44260,,30min,TF-Abundance,,,0.851123918
AT2G44840,,regulates,AT3G45640,,30min,TF-Abundance,,,0.820891462
AT2G44840,,regulates,AT5G24470,,30min,TF-Abundance,,,0.608794163
AT2G44840,,regulates,AT5G52750,,30min,TF-Abundance,,,0.825775776
AT2G44840,,regulates,AT5G59820,,30min,TF-Abundance,,,0.744982171
AT2G45050,,regulates,AT1G03610,,30min,TF-Abundance,,,0.624757489
AT2G45050,,regulates,AT1G19310,,30min,TF-Abundance,,,0.945674826
AT2G45050,,regulates,AT1G62200,,30min,TF-Abundance,,,0.66238625
AT2G45050,,regulates,AT2G07180,,30min,TF-Abundance,,,0.636798365
AT2G45050,,regulates,AT2G20950,,30min,TF-Abundance,,,0.646910193
AT2G45050,,regulates,AT2G45210,,30min,TF-Abundance,,,0.763136979
AT2G45050,,regulates,AT2G47260,,30min,TF-Abundance,,,0.588274263
AT2G45050,,regulates,AT3G16500,,30min,TF-Abundance,,,0.771333736
AT2G45050,,regulates,AT3G23550,,30min,TF-Abundance,,,0.584866524
AT2G45050,,regulates,AT4G01680,,30min,TF-Abundance,,,0.71522776
AT2G45050,,regulates,AT4G17900,,30min,TF-Abundance,,,0.703568492
AT2G45050,,regulates,AT4G25620,,30min,TF-Abundance,,,0.771226891
AT2G45050,,regulates,AT4G30270,,30min,TF-Abundance,,,0.684230236
AT2G45050,,regulates,AT5G57780,,30min,TF-Abundance,,,0.787349444
AT2G45660,,regulates,AT1G01390,,30min,TF-Abundance,,,0.620708983
AT2G45660,,regulates,AT1G03080,,30min,TF-Abundance,,,0.971557762
AT2G45660,,regulates,AT1G11580,,30min,TF-Abundance,,,0.837747464
AT2G45660,,regulates,AT1G19700,,30min,TF-Abundance,,,0.942873096
AT2G45660,,regulates,AT1G23390,,30min,TF-Abundance,,,0.847461184
AT2G45660,,regulates,AT1G28060,,30min,TF-Abundance,,,0.876004301
AT2G45660,,regulates,AT1G66730,,30min,TF-Abundance,,,0.785655594
AT2G45660,,regulates,AT2G21840,,30min,TF-Abundance,,,0.604261154
AT2G45660,,regulates,AT2G24580,,30min,TF-Abundance,,,0.558344291
AT2G45660,,regulates,AT2G44370,,30min,TF-Abundance,,,0.87999864
AT2G45660,,regulates,AT3G01150,,30min,TF-Abundance,,,0.553567458
AT2G45660,,regulates,AT3G03990,,30min,TF-Abundance,,,0.788852803
AT2G45660,,regulates,AT3G16180,,30min,TF-Abundance,,,1
AT2G45660,,regulates,AT4G32280,,30min,TF-Abundance,,,0.617040514
AT2G45660,,regulates,AT4G37470,,30min,TF-Abundance,,,0.757531229
AT2G45660,,regulates,AT5G19970,,30min,TF-Abundance,,,0.568490231
AT2G45660,,regulates,AT5G43630,,30min,TF-Abundance,,,0.55471989
AT2G45680,,regulates,AT3G15210,,30min,TF-Abundance,,,0.675967161
AT2G45680,,regulates,AT4G28085,,30min,TF-Abundance,,,0.696034236
AT2G46590,,regulates,AT1G66160,,30min,TF-Abundance,,,0.923327471
AT2G47260,,regulates,AT1G27670,,30min,TF-Abundance,,,0.745467904
AT3G01970,,regulates,AT1G12200,,30min,TF-Abundance,,,0.864567497
AT3G01970,,regulates,AT1G27020,,30min,TF-Abundance,,,0.741610271
AT3G01970,,regulates,AT1G35580,,30min,TF-Abundance,,,0.797874323
AT3G01970,,regulates,AT1G54510,,30min,TF-Abundance,,,0.759968284
AT3G01970,,regulates,AT1G73920,,30min,TF-Abundance,,,0.899564948
AT3G01970,,regulates,AT2G02955,,30min,TF-Abundance,,,0.718215752
AT3G01970,,regulates,AT2G07360,,30min,TF-Abundance,,,0.853791461
AT3G01970,,regulates,AT2G18170,,30min,TF-Abundance,,,0.833513906
AT3G01970,,regulates,AT2G21620,,30min,TF-Abundance,,,0.808042013
AT3G01970,,regulates,AT2G27310,,30min,TF-Abundance,,,0.945362928
AT3G01970,,regulates,AT2G28840,,30min,TF-Abundance,,,0.749512248
AT3G01970,,regulates,AT2G40930,,30min,TF-Abundance,,,0.809855819
AT3G01970,,regulates,AT3G03470,,30min,TF-Abundance,,,0.724659016
AT3G01970,,regulates,AT3G06355,,30min,TF-Abundance,,,0.679638685
AT3G01970,,regulates,AT3G06510,,30min,TF-Abundance,,,0.731039586
AT3G01970,,regulates,AT3G08510,,30min,TF-Abundance,,,0.794573715
AT3G01970,,regulates,AT3G16220,,30min,TF-Abundance,,,0.787013558
AT3G01970,,regulates,AT3G23900,,30min,TF-Abundance,,,0.704988472
