"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0.0","0.0","0","1","1","false","PGD3","6.0","0","0","false","0","AT5G41670","0"
"5.418216001671193","1.044623143349754","0.1845625939777152","0.03571428571428571","9","8","4","false","BHLH13","33.125","4","0","false","0","AT1G01260","108837310"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","GL22","22.666666666666668","0","0","false","0","AT1G02335","0"
"4.588468769584291","2.0690101410454917","0.21793762804461642","0.029411764705882353","8","18","6","false","ZHD4","11.764705882352942","12","1","false","0","AT1G14440","201802715"
"1.0","0.002416942932933195","1.0","0.0","1","5","4","false","HMGB4","19.6","1","0","false","0","AT2G17560","174117"
"4.944015040735325","2.6720989847433243","0.20226475683441078","0.06985294117647059","8","18","7","false","HYH","9.0","11","1","false","0","AT3G17609","312076867"
"4.362231042406518","4.092891957533561","0.22924049420553586","0.0735930735930736","8","23","10","false","CDC5","23.636363636363637","13","1","false","0","AT1G09770","489549739"
"0.0","0.0","0.0","0.0","0","4","4","false","RTNLB3","78.0","0","0","false","0","AT1G64090","0"
"1.5714285714285714","0.22563194838627684","0.6363636363636364","0.047619047619047616","2","8","2","false","WHY3","7.285714285714286","6","1","false","0","AT2G02740","20447642"
"5.29475663254648","0.0421720906649824","0.1888660932691549","0.2","9","8","4","false","AT3G11100","18.0","4","2","false","0","AT3G11100","4940036"
"1.0","0.21810201096709483","1.0","0.0","1","11","2","false","AT3G24860","4.0","9","0","false","0","AT3G24860","20192592"
"5.6642991435136825","1.0704888121898104","0.17654434814678224","0.09090909090909091","9","12","7","false","TCP14","17.75","5","0","false","0","AT3G47620","115929096"
"3.935241278462503","5.77694482549727","0.2541140248434016","0.013876040703052728","8","51","11","false","NFYC1","17.93617021276596","40","4","false","0","AT3G48590","622049111"
"0.0","0.0","0.0","0.2","0","5","5","false","AT4G14342","49.8","0","0","false","0","AT4G14342","0"
"5.425736369333612","1.0319741698942573","0.18430678011781465","0.02857142857142857","8","16","5","false","GEBPL","9.733333333333333","11","1","false","0","AT4G25210","112176161"
"0.0","0.0","0.0","0.08333333333333333","0","4","4","false","CPK5","49.5","0","0","false","0","AT4G35310","0"
"3.9206183413411324","4.330942549123824","0.2550618073316283","0.03571428571428571","8","31","8","false","TGA4","18.862068965517242","23","2","false","0","AT5G10030","422594412"
