GeneID,dataset
AT1G09010,GTL1_targets
AT1G09040,GTL1_targets
AT1G09070,GTL1_targets
AT1G09140,GTL1_targets
AT1G09157,GTL1_targets
AT1G09180,GTL1_targets
AT1G09200,GTL1_targets
AT1G09210,GTL1_targets
AT1G09250,GTL1_targets
AT1G09260,GTL1_targets
AT1G09340,GTL1_targets
AT1G09350,GTL1_targets
AT1G09410,GTL1_targets
AT1G09480,GTL1_targets
AT1G09530,GTL1_targets
AT1G09540,GTL1_targets
AT1G09560,GTL1_targets
AT1G09580,GTL1_targets
AT1G09645,GTL1_targets
AT1G09795,GTL1_targets
AT1G09870,GTL1_targets
AT1G09910,GTL1_targets
AT1G09930,GTL1_targets
AT1G09935,GTL1_targets
AT1G09960,GTL1_targets
AT1G09970,GTL1_targets
AT1G09980,GTL1_targets
AT1G10030,GTL1_targets
AT1G10090,GTL1_targets
AT1G10120,GTL1_targets
AT1G10130,GTL1_targets
AT1G10150,GTL1_targets
AT1G10220,GTL1_targets
AT1G10230,GTL1_targets
AT1G10290,GTL1_targets
AT1G10340,GTL1_targets
AT1G10400,GTL1_targets
AT1G10410,GTL1_targets
AT1G10460,GTL1_targets
AT1G10470,GTL1_targets
AT1G10480,GTL1_targets
AT1G10490,GTL1_targets
AT1G10560,GTL1_targets
AT1G10620,GTL1_targets
AT1G10657,GTL1_targets
AT1G10690,GTL1_targets
AT1G10717,GTL1_targets
AT1G10745,GTL1_targets
AT1G10760,GTL1_targets
AT1G10850,GTL1_targets
AT1G10910,GTL1_targets
AT1G10980,GTL1_targets
AT1G11010,GTL1_targets
AT1G11050,GTL1_targets
AT1G11060,GTL1_targets
AT1G11110,GTL1_targets
AT1G11160,GTL1_targets
AT1G11170,GTL1_targets
AT1G11210,GTL1_targets
AT1G11220,GTL1_targets
AT1G11260,GTL1_targets
AT1G11320,GTL1_targets
AT1G11350,GTL1_targets
AT1G11380,GTL1_targets
AT1G11550,GTL1_targets
AT1G11660,GTL1_targets
AT1G11670,GTL1_targets
AT1G11680,GTL1_targets
AT1G11700,GTL1_targets
AT1G11710,GTL1_targets
AT1G11765,GTL1_targets
AT1G11890,GTL1_targets
AT1G11905,GTL1_targets
AT1G11915,GTL1_targets
AT1G11950,GTL1_targets
AT1G11970,GTL1_targets
AT1G12020,GTL1_targets
AT1G12040,GTL1_targets
AT1G12080,GTL1_targets
AT1G12100,GTL1_targets
AT1G12110,GTL1_targets
AT1G12130,GTL1_targets
AT1G12160,GTL1_targets
AT1G12240,GTL1_targets
