geno,treatment,day,cell_type,image,position,cumm_len,cell_len,date,notes
WT,control,7,cortex_meristem,WT_long_stack-4.czi,51,490.291,15.454,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,52,506.975,16.684,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,53,534.528,27.553,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,54,575.264,40.736,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,55,614.552,39.288,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,56,661.923,47.371,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,57,705.959,44.036,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,58,754.121,48.162,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,59,806.902,52.781,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,60,868.734,61.832,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,61,941.362,72.628,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,62,1027.997,86.635,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,63,1127.661,99.664,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,64,1224.218,96.557,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,65,1323.368,99.15,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,66,1449.444,126.076,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,67,1565.835,116.391,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,68,1822.704,256.869,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,69,2117.749,295.045,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,70,2332.891,215.142,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,71,2515.277,182.386,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,72,2700.104,184.827,20220209,
WT,control,7,cortex_meristem,WT_long_stack-4.czi,73,2932.638,232.534,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,1,5.646,5.646,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,2,11.59,5.944,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,3,19.467,7.877,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,4,26.173,6.706,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,5,36.552,10.379,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,6,42.423,5.871,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,7,47.961,5.538,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,8,57.244,9.283,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,9,64.762,7.518,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,10,73.569,8.807,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,11,80.675,7.106,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,12,89.392,8.717,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,13,98.11,8.718,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,14,107.281,9.171,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,15,115.594,8.313,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,16,122.651,7.057,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,17,128.878,6.227,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,18,134.69,5.812,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,19,140.931,6.241,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,20,146.742,5.811,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,21,152.569,5.827,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,22,159.263,6.694,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,23,163.829,4.566,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,24,170.18,6.351,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,25,176.421,6.241,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,26,181.402,4.981,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,27,186.815,5.413,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,28,192.627,5.812,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,29,198.039,5.412,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,30,203.436,5.397,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,31,208.003,4.567,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,32,215.578,7.575,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,33,223.509,7.931,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,34,229.321,5.812,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,35,236.079,6.758,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,36,242.734,6.655,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,37,248.678,5.944,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,38,254.504,5.826,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,39,260.731,6.227,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,40,268.215,7.484,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,41,274.87,6.655,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,42,282.525,7.655,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,43,290.921,8.396,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,44,298.981,8.06,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,45,306.557,7.576,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,46,320.312,13.755,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,47,331.138,10.826,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,48,341.648,10.51,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,49,353.536,11.888,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,50,362.706,9.17,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,51,374.774,12.068,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,52,390.636,15.862,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,53,414.592,23.956,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,54,442.97,28.378,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,55,475.387,32.417,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,56,517.024,41.637,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,57,562.887,45.863,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,58,625.835,62.948,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,59,691.364,65.529,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,60,760.953,69.589,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,61,843.597,82.644,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,62,967.251,123.654,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,63,1075.185,107.934,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,64,1211.372,136.187,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,65,1465.581,254.209,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,66,1711.806,246.225,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,67,1953.868,242.062,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,68,2201.238,247.37,20220209,
WT,control,7,cortex_meristem,WT_long_stack-5.czi,69,2449.087,247.849,20220209,
WT,control,7,cortex_meristem,WT_control-1.czi,1,10.378,10.378,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,2,16.715,6.337,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,3,23.038,6.323,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,4,30.204,7.166,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,5,37.688,7.484,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,6,45.674,7.986,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,7,54.342,8.668,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,8,61.814,7.472,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,9,69.97,8.156,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,10,77.956,7.986,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,11,86.016,8.06,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,12,92.71,6.694,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,13,98.951,6.241,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,14,106.838,7.887,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,15,113.895,7.057,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,16,119.766,5.871,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,17,127.25,7.484,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,18,136.383,9.133,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,19,142.195,5.812,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,20,150.082,7.887,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,21,157.14,7.058,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,22,161.706,4.566,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,23,165.858,4.152,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,24,174.171,8.313,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,25,182.484,8.313,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,26,189.541,7.057,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,27,197.439,7.898,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,28,204.912,7.473,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,29,212.018,7.106,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,30,218.258,6.24,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,31,224.914,6.656,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,32,232.801,7.887,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,33,239.028,6.227,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,34,245.67,6.642,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,35,256.879,11.209,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,36,265.181,8.302,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,37,273.069,7.888,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,38,281.787,8.718,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,39,292.652,10.865,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,40,301.785,9.133,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,41,321.3,19.515,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,42,341.231,19.931,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,43,361.64,20.409,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,44,384.533,22.893,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,45,409.859,25.326,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,46,443.941,34.082,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,47,484.626,40.685,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,48,536.559,51.933,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,49,592.726,56.167,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,50,657.717,64.991,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,51,741.339,83.622,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,52,918.35,177.011,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,53,1111.866,193.516,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,54,1273.427,161.561,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,55,1445.972,172.545,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,56,1594.412,148.44,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,57,1794.816,200.404,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,58,1948.551,153.735,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,1,7.344,7.344,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,2,13.908,6.564,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,3,20.966,7.058,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,4,27.289,6.323,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,5,34.663,7.374,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,6,42.732,8.069,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,7,47.441,4.709,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,8,52.838,5.397,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,9,60.969,8.131,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,10,69.364,8.395,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,11,78.239,8.875,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,12,84.466,6.227,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,13,92.353,7.887,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,14,99.837,7.484,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,15,107.321,7.484,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,16,114.84,7.519,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,17,120.651,5.811,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,18,127.238,6.587,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,19,132.635,5.397,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,20,140.119,7.484,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,21,148.514,8.395,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,22,156.09,7.576,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,23,163.147,7.057,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,24,169.841,6.694,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,25,176.91,7.069,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,26,183.137,6.227,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,27,191.025,7.888,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,28,196.421,5.396,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,29,201.818,5.397,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,30,208.473,6.655,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,31,214.285,5.812,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,32,220.927,6.642,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,33,227.569,6.642,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,34,234.675,7.106,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,35,241.317,6.642,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,36,246.714,5.397,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,37,254.602,7.888,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,38,265.522,10.92,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,39,271.749,6.227,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,40,279.68,7.931,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,41,287.153,7.473,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,42,291.304,4.151,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,43,308.345,17.041,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,44,321.24,12.895,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,45,334.551,13.311,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,46,348.762,14.211,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,47,366.439,17.677,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,48,383.464,17.025,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,49,403.046,19.582,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,50,423.585,20.539,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,51,447.426,23.841,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,52,478.217,30.791,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,53,520.178,41.961,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,54,574.981,54.803,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,55,630.616,55.635,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,56,687.928,57.312,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,57,781.88,93.952,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,58,830.051,48.171,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,59,924.966,94.915,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,60,1117.374,192.408,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,61,1363.452,246.078,20220211,
WT,control,7,cortex_meristem,WT_control-2.czi,62,1556.786,193.334,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,1,7.621,7.621,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,2,13.958,6.337,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,3,22.516,8.558,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,4,28.054,5.538,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,5,34.295,6.241,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,6,41.389,7.094,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,7,46.849,5.46,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,8,52.388,5.539,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,9,57.387,4.999,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,10,61.538,4.151,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,11,66.588,5.05,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,12,70.324,3.736,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,13,78.223,7.899,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,14,86.941,8.718,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,15,96.577,9.636,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,16,99.898,3.321,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,17,103.634,3.736,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,18,108.22,4.586,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,19,111.956,3.736,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,20,119.025,7.069,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,21,124.837,5.812,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,22,128.989,4.152,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,23,133.97,4.981,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,24,138.122,4.152,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,25,143.933,5.811,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,26,148.915,4.982,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,27,154.742,5.827,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,28,158.501,3.759,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,29,163.551,5.05,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,30,169.996,6.445,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,31,174.319,4.323,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,32,180.789,6.47,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,33,184.941,4.152,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,34,191.583,6.642,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,35,201.546,9.963,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,36,208.796,7.25,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,37,214.256,5.46,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,38,220.953,6.697,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,39,226.765,5.812,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,40,233.42,6.655,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,41,238.833,5.413,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,42,245.115,6.282,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,43,252.587,7.472,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,44,259.345,6.758,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,45,263.104,3.759,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,46,269.549,6.445,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,47,281.173,11.624,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,48,292.805,11.632,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,49,304.844,12.039,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,50,316.475,11.631,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,51,330.614,14.139,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,52,342.66,12.046,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,53,358.898,16.238,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,54,370.966,12.068,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,55,384.671,13.705,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,56,400.861,16.19,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,57,415.391,14.53,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,58,430.801,15.41,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,59,449.501,18.7,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,60,467.351,17.85,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,61,505.138,37.787,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,62,547.074,41.936,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,63,579.05,31.976,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,64,609.781,30.731,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,65,682.845,73.064,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,66,775.028,92.183,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,67,872.183,97.155,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,68,1030.982,158.799,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,69,1217.489,186.507,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,70,1392.754,175.265,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,71,1600.691,207.937,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,72,1845.199,244.508,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,73,2078.289,233.09,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,1,12.822,12.822,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,2,23.616,10.794,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,3,33.841,10.225,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,4,42.803,8.962,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,5,50.788,7.985,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,6,59.183,8.395,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,7,65.41,6.227,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,8,73.878,8.468,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,9,81.362,7.484,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,10,88.197,6.835,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,11,97.48,9.283,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,12,103.306,5.826,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,13,109.547,6.241,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,14,114.132,4.585,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,15,119.114,4.982,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,16,123.448,4.334,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,17,129.275,5.827,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,18,133.508,4.233,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,19,138.49,4.982,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,20,143.489,4.999,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,21,148.74,5.251,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,22,155.395,6.655,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,23,159.961,4.566,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,24,164.943,4.982,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,25,169.509,4.566,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,26,175.156,5.647,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,27,180.137,4.981,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,28,186.364,6.227,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,29,191.903,5.539,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,30,198.558,6.655,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,31,207.433,8.875,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,32,216.19,8.757,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,33,225.881,9.691,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,34,233.354,7.473,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,35,243.351,9.997,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,36,252.522,9.171,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,37,259.579,7.057,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,38,268.297,8.718,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,39,277.466,9.169,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,40,286.184,8.718,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,41,294.911,8.727,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,42,306.128,11.217,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,43,315.712,9.584,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,44,324.014,8.302,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,45,337.72,13.706,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,46,354.821,17.101,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,47,369.033,14.212,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,48,384.814,15.781,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,49,397.689,12.875,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,50,414.378,16.689,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,51,435.586,21.208,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,52,455.932,20.346,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,53,503.931,47.999,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,54,556.073,52.142,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,55,597.921,41.848,20220211,
WT,control,7,cortex_meristem,WT_control-4.czi,56,689.055,91.134,20220211,
