geno,treatment,day,cell_type,image,position,cumm_len,cell_len,date,notes
WT,control,7,cortex_meristem,WTctrl-1.czi,68,947.733,88.449,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,69,1062.362,114.629,20220202,
WT,control,7,cortex_meristem,20220204-WT-2.czi,1,6.337,6.337,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,2,16.446,10.109,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,3,25.32,8.874,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,4,33.664,8.344,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,5,38.523,4.859,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,6,45.37,6.847,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,7,49.197,3.827,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,8,55.479,6.282,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,9,62.173,6.694,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,10,67.172,4.999,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,11,75.157,7.985,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,12,80.969,5.812,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,13,86.796,5.827,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,14,92.74,5.944,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,15,98.566,5.826,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,16,103.979,5.413,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,17,109.439,5.46,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,18,115.721,6.282,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,19,120.772,5.051,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,20,124.531,3.759,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,21,130.358,5.827,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,22,136.169,5.811,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,23,144.101,7.932,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,24,152.032,7.931,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,25,161.202,9.17,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,26,169.133,7.931,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,27,177.214,8.081,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,28,183.141,5.927,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,29,191.04,7.899,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,30,198.938,7.898,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,31,206.514,7.576,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,32,214.412,7.898,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,33,220.639,6.227,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,34,227.696,7.057,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,35,235.584,7.888,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,36,242.239,6.655,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,37,247.22,4.981,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,38,253.914,6.694,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,39,262.632,8.718,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,40,270.52,7.888,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,41,277.162,6.642,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,42,286.295,9.133,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,43,302.091,15.796,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,44,317.036,14.945,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,45,325.349,8.313,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,46,334.897,9.548,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,47,355.243,20.346,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,48,376.894,21.651,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,49,400.141,23.247,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,50,426.298,26.157,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,51,458.287,31.989,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,52,493.198,34.911,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,53,524.792,31.594,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,54,574.615,49.823,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,55,636.492,61.877,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,56,707.896,71.404,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,57,787.732,79.836,20220204,
WT,control,7,cortex_meristem,20220204-WT-2.czi,58,900.953,113.221,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,1,9.998,9.998,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,2,18.556,8.558,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,3,28.424,9.868,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,4,39.32,10.896,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,5,46.027,6.707,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,6,51.673,5.646,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,7,58.779,7.106,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,8,65.13,6.351,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,9,73.115,7.985,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,10,80.365,7.25,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,11,88.425,8.06,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,12,95.08,6.655,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,13,102.342,7.262,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,14,107.739,5.397,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,15,116.224,8.485,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,16,121.22,4.996,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,17,129.616,8.396,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,18,136.271,6.655,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,19,143.846,7.575,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,20,150.501,6.655,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,21,157.195,6.694,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,22,162.194,4.999,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,23,168.138,5.944,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,24,174.78,6.642,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,25,182.678,7.898,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,26,193.956,11.278,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,27,202.713,8.757,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,28,210.601,7.888,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,29,218.945,8.344,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,30,226.429,7.484,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,31,234.824,8.395,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,32,243.137,8.313,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,33,253.238,10.101,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,34,261.125,7.887,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,35,269.428,8.303,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,36,276.485,7.057,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,37,285.618,9.133,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,38,292.675,7.057,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,39,300.978,8.303,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,40,310.535,9.557,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,41,322.603,12.068,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,42,335.498,12.895,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,43,350.858,15.36,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,44,365.803,14.945,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,45,380.339,14.536,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,46,395.704,15.365,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,47,424.457,28.753,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,48,449.174,24.717,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,49,469.722,20.548,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,50,509.423,39.701,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,51,559.487,50.064,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,52,615.654,56.167,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,53,668.509,52.855,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,54,728.709,60.2,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,55,798.036,69.327,20220204,
WT,control,7,cortex_meristem,20220204-WT-3.czi,56,868.509,70.473,20220204,
WT,control,7,cortex_meristem,WT_control-1.czi,1,9.105,9.105,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,2,15.602,6.497,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,3,22.696,7.094,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,4,33.874,11.178,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,5,43.742,9.868,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,6,54.12,10.378,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,7,61.875,7.755,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,8,70.543,8.668,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,9,78.198,7.655,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,10,84.069,5.871,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,11,90.916,6.847,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,12,97.673,6.757,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,13,103.718,6.045,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,14,112.592,8.874,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,15,118.833,6.241,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,16,129.212,10.379,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,17,138.018,8.806,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,18,143.415,5.397,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,19,148.465,5.05,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,20,154.409,5.944,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,21,159.544,5.135,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,22,166.613,7.069,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,23,174.673,8.06,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,24,183.401,8.728,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,25,193.442,10.041,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,26,204.658,11.216,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,27,213.829,9.171,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,28,222.142,8.313,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,29,231.771,9.629,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,30,239.831,8.06,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,31,248.588,8.757,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,32,258.629,10.041,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,33,267.357,8.728,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,34,278.222,10.865,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,35,290.848,12.626,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,36,300.888,10.04,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,37,312.166,11.278,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,38,321.857,9.691,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,39,331.855,9.998,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,40,346.8,14.945,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,41,360.091,13.291,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,42,376.364,16.273,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,43,386.404,10.04,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,44,397.735,11.331,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,45,414.361,16.626,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,46,430.987,16.626,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,47,449.258,18.271,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,48,463.014,13.756,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,49,485.981,22.967,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,50,510.063,24.082,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,51,544.936,34.873,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,52,577.732,32.796,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,53,612.643,34.911,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,54,652.573,39.93,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,55,707.013,54.44,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,56,762,54.987,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,57,824.917,62.917,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,58,891.757,66.84,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,59,1042.684,150.927,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,60,1225.315,182.631,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,61,1486.172,260.857,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,62,1760.255,274.083,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,63,1958.44,198.185,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,64,2152.575,194.135,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,65,2323.87,171.295,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,66,2472.439,148.569,20220211,
WT,control,7,cortex_meristem,WT_control-1.czi,67,2756.175,283.736,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,1,9.466,9.466,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,2,17.484,8.018,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,3,24.91,7.426,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,4,35.551,10.641,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,5,44.617,9.066,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,6,53.946,9.329,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,7,62.615,8.669,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,8,71.283,8.668,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,9,78.242,6.959,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,10,84.897,6.655,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,11,90.841,5.944,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,12,98.495,7.654,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,13,105.15,6.655,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,14,111.997,6.847,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,15,120.464,8.467,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,16,129.747,9.283,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,17,138.091,8.344,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,18,143.072,4.981,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,19,148.855,5.783,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,20,153.853,4.998,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,21,158.587,4.734,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,22,167.393,8.806,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,23,175.737,8.344,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,24,185.321,9.584,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,25,193.665,8.344,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,26,205.289,11.624,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,27,214.572,9.283,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,28,224.156,9.584,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,29,232.216,8.06,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,30,240.973,8.757,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,31,249.317,8.344,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,32,259.185,9.868,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,33,269.226,10.041,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,34,279.678,10.452,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,35,302.659,22.981,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,36,312.657,9.998,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,37,322.214,9.557,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,38,332.602,10.388,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,39,348.045,15.443,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,40,362.377,14.332,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,41,377.345,14.968,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,42,387.724,10.379,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,43,399.001,11.277,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,44,414.367,15.366,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,45,431.433,17.066,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,46,448.947,17.514,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,47,463.892,14.945,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,48,486.37,22.478,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,49,512.968,26.598,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,50,545.391,32.423,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,51,577.774,32.383,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,52,613.912,36.138,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,53,653.819,39.907,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,54,707.979,54.16,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,55,779.141,71.162,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,56,826.41,47.269,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,57,933.273,106.863,20220211,
WT,control,7,cortex_meristem,WT_control-3.czi,58,1032.686,99.413,20220211,
